# 技术术语自定义词典
# 格式：词语 词频(越高越优先) 词性
# 词性：n=名词, v=动词, a=形容词, eng=英文

# AI/Agent 相关
Hermes 10 n
Claude 10 n
GPT 10 n
OpenAI 10 n
Anthropic 10 n
LangChain 10 n
LangGraph 10 n
FastMCP 10 n
MCP 10 n
Agent 10 n
LLM 10 n
RAG 10 n
embedding 10 n

# 框架/工具
FastAPI 10 n
Pydantic 10 n
SQLAlchemy 10 n
Vue3 10 n
React 10 n
Docker 10 n
Kubernetes 10 n
Nginx 10 n
Redis 10 n
MySQL 10 n

# 云服务
阿里云 10 n
腾讯云 10 n
AWS 10 n

# 开发工具
VSCode 10 n
JetBrains 10 n
PyCharm 10 n
Git 10 n
GitHub 10 n
Gitee 10 n
pip 10 n
uv 10 n
pytest 10 n
ruff 10 n

# 中文技术术语
飞书 10 n
钉钉 10 n
微信 10 n
发送文件 10 n
密码 10 n
文件 10 n
保存 10 n
配置 10 n
搜索 10 n
分词 10 n
向量 10 n
嵌入 10 n
语义搜索 10 n
关键词搜索 10 n
记忆系统 10 n
知识图谱 10 n
